spelling,nobs,accuracy,prevalence,rt_mean,rt_std,zrt_mean,zrt_std,ZipfUS,Length
mindfully,686,1.00,2.58,904,403,-0.54,0.54,1.29,9
rollerblade,672,1.00,2.58,965,495,-0.48,0.54,1.29,11
submissiveness,742,0.99,2.58,1116,609,-0.24,0.65,1.29,14
toolbar,617,0.99,2.58,927,521,-0.55,0.57,1.29,7
apologetically,741,0.99,2.44,1170,682,-0.21,0.71,1.29,14
inconclusively,743,0.98,2.44,1273,795,-0.06,0.75,1.29,14
jumpstart,702,0.99,2.44,955,563,-0.48,0.69,1.29,9
apprehensively,726,0.99,2.44,1063,631,-0.38,0.57,1.29,14
freefall,601,0.99,2.44,920,550,-0.53,0.56,1.29,8
touchable,629,1.00,2.44,920,539,-0.56,0.50,1.29,9
bluetooth,632,0.99,2.44,900,366,-0.58,0.43,1.29,9
liveliness,724,0.99,2.44,1028,596,-0.39,0.66,1.29,10
biochemically,702,0.99,2.44,1120,623,-0.27,0.67,1.29,13
inconsistently,707,0.99,2.44,1156,677,-0.22,0.64,1.29,14
uppercase,720,0.99,2.44,927,447,-0.53,0.43,1.29,9
treehouse,612,1.00,2.44,887,421,-0.59,0.44,1.29,9
fluency,603,1.00,2.43,909,499,-0.58,0.50,1.29,7
irregularly,669,1.00,2.43,1004,612,-0.44,0.65,1.29,11
breakdance,685,0.99,2.43,990,522,-0.43,0.57,1.29,10
barcode,663,0.99,2.43,894,372,-0.55,0.48,1.29,7
dynamically,623,0.99,2.43,1030,584,-0.38,0.61,1.29,11
fluorescence,668,0.99,2.43,1097,734,-0.33,0.67,1.29,12
demographically,670,1.00,2.42,1147,592,-0.22,0.63,1.29,15
screenshot,624,0.99,2.42,920,440,-0.52,0.55,1.29,10
unenthusiastically,641,0.99,2.41,1511,945,0.25,0.94,1.29,18
homeopathically,247,0.98,2.35,1607,1084,0.50,0.98,1.29,15
unconventionally,819,0.99,2.35,1192,638,-0.16,0.70,1.29,16
conditionally,745,1.00,2.34,976,518,-0.46,0.57,1.29,13
oversize,624,1.00,2.34,890,523,-0.57,0.58,1.29,8
illuminator,703,0.99,2.34,988,534,-0.43,0.62,1.29,11
jetlag,699,0.99,2.34,907,382,-0.51,0.50,1.29,6
unclothed,714,0.99,2.34,1021,642,-0.40,0.65,1.29,9
uninstall,735,0.99,2.34,1047,503,-0.34,0.61,1.29,9
yo-yo,638,0.99,2.34,935,399,-0.49,0.53,1.29,5
searchable,697,0.99,2.34,974,552,-0.48,0.49,1.29,10
unclogged,699,0.99,2.34,988,512,-0.44,0.54,1.29,9
individualization,701,0.99,2.34,1330,818,-0.03,0.81,1.29,17
timeline,601,1.00,2.33,838,327,-0.62,0.47,1.29,8
uncategorized,777,0.99,2.33,1057,558,-0.35,0.57,1.29,13
disputable,682,0.99,2.32,1091,679,-0.32,0.69,1.29,10
maternally,695,0.99,2.32,1008,557,-0.40,0.61,1.29,10
hoarder,4858,0.95,2.32,907,452,-0.46,0.58,1.29,7
captivation,680,0.99,2.32,1081,622,-0.32,0.70,1.29,11
squeezable,639,0.99,2.32,998,617,-0.46,0.60,1.29,10
hyperlink,655,0.99,2.32,922,432,-0.50,0.51,1.29,9
lazily,567,0.98,2.32,965,632,-0.52,0.60,1.29,6
crushable,624,0.99,2.32,999,537,-0.43,0.53,1.29,9
sluggishly,641,0.99,2.31,971,591,-0.44,0.62,1.29,10
maliciousness,690,0.99,2.31,1119,640,-0.25,0.63,1.29,13
indecisively,700,0.99,2.31,1067,573,-0.34,0.61,1.29,12
mindfulness,600,0.99,2.30,946,552,-0.47,0.62,1.29,11
caregiving,463,0.98,2.30,946,492,-0.45,0.63,1.29,10
multiculturalism,480,0.99,2.28,1236,745,-0.12,0.66,1.29,16
lifecycle,432,0.97,2.28,942,481,-0.49,0.60,1.29,9
whistleblower,714,0.99,2.27,925,406,-0.49,0.51,1.29,13
countertop,417,0.98,2.27,1015,500,-0.37,0.59,1.29,10
uncoiled,714,0.98,2.27,1000,484,-0.40,0.60,1.29,8
trenchcoat,738,0.98,2.27,972,458,-0.42,0.55,1.29,10
bodysuit,665,0.99,2.26,962,615,-0.50,0.67,1.29,8
safehouse,654,0.99,2.26,944,556,-0.49,0.65,1.29,9
humidify,687,0.99,2.26,1013,605,-0.41,0.63,1.29,8
cornflake,667,0.99,2.26,903,403,-0.58,0.47,1.29,9
blogger,676,0.99,2.26,876,372,-0.58,0.50,1.29,7
nondiscriminatory,812,0.98,2.26,1247,618,-0.04,0.68,1.29,17
criminalization,397,0.99,2.26,1109,591,-0.22,0.71,1.29,15
tranquilizing,754,0.99,2.26,1100,731,-0.37,0.60,1.29,13
sinkable,737,0.99,2.26,1030,601,-0.40,0.60,1.29,8
submissively,648,1.00,2.25,953,464,-0.48,0.51,1.29,12
passcode,656,0.99,2.25,966,538,-0.48,0.53,1.29,8
rollercoaster,660,0.99,2.25,947,504,-0.52,0.53,1.29,13
youthfulness,671,1.00,2.25,940,434,-0.48,0.51,1.29,12
printable,639,0.99,2.25,901,417,-0.54,0.55,1.29,9
destructively,695,0.99,2.25,1107,682,-0.34,0.64,1.29,13
consumable,699,0.99,2.25,1007,530,-0.45,0.56,1.29,10
screensaver,637,0.99,2.25,960,535,-0.50,0.53,1.29,11
modernist,646,0.99,2.25,1027,570,-0.38,0.62,1.29,9
viewable,684,0.98,2.25,956,588,-0.52,0.53,1.29,8
conversationally,667,0.98,2.25,1284,851,-0.11,0.74,1.29,16
incompletely,672,0.99,2.24,1130,721,-0.31,0.68,1.29,12
multiplier,673,0.99,2.24,957,562,-0.47,0.58,1.29,10
distastefully,731,0.99,2.24,1027,512,-0.34,0.61,1.29,13
spitefulness,672,0.99,2.24,1012,514,-0.39,0.58,1.29,12
homophobe,757,1.00,2.24,1223,688,-0.12,0.78,1.29,9
attachable,670,0.99,2.24,1081,779,-0.41,0.66,1.29,10
megapixel,728,0.98,2.24,1056,496,-0.31,0.56,1.29,9
pitbull,637,0.99,2.23,890,433,-0.58,0.46,1.29,7
uncertified,677,0.99,2.23,1035,596,-0.37,0.64,1.29,11
obstructive,650,0.99,2.23,1028,654,-0.40,0.70,1.29,11
computable,691,0.99,2.23,1080,603,-0.32,0.63,1.29,10
stakeholder,684,0.98,2.23,1005,567,-0.44,0.56,1.29,11
transfigure,740,0.97,2.23,1040,557,-0.38,0.55,1.29,11
irritably,680,0.98,2.23,1197,846,-0.22,0.84,1.29,9
rechargeable,613,0.99,2.23,988,444,-0.42,0.53,1.29,12
tupperware,622,0.98,2.23,986,481,-0.41,0.56,1.29,10
plumpness,667,0.98,2.22,1057,618,-0.37,0.58,1.29,9
arguable,663,0.99,2.22,1059,730,-0.43,0.64,1.29,8
flashcard,612,0.99,2.22,914,486,-0.53,0.55,1.29,9
transitionally,242,0.98,2.21,1302,782,-0.12,0.74,1.29,14
greediness,725,0.99,2.21,1011,593,-0.44,0.60,1.29,10
unreceptive,728,0.98,2.19,1144,543,-0.21,0.66,1.29,11
retainable,669,0.99,2.19,1074,577,-0.30,0.68,1.29,10
hardiness,691,0.98,2.19,998,572,-0.41,0.67,1.29,9
lawfulness,687,0.99,2.19,1034,669,-0.41,0.67,1.29,10
frameless,689,0.98,2.19,1053,608,-0.34,0.63,1.29,9
frontline,641,0.99,2.19,918,418,-0.52,0.57,1.29,9
