data,label,split
clube,ESP,train
adiccion,ESP,train
platonismo,ESP,train
virgen,ESP,train
elogio,ESP,train
precario,ESP,train
hipotenusa,ESP,train
ablativo,ESP,train
alertado,ESP,train
medievo,ESP,train
imperfecto,ESP,train
raya,ESP,train
telex,ESP,train
racional,ESP,train
lobaton,ESP,train
vacio,ESP,train
anomalo,ESP,train
geoquimica,ESP,train
biologia,ESP,train
finito,ESP,train
tasacion,ESP,train
equipar,ESP,train
desconfiar,ESP,train
pista,ESP,train
fogueo,ESP,train
poblar,ESP,train
arrastre,ESP,train
dermatitis,ESP,train
mermelada,ESP,train
agasajo,ESP,train
fielmente,ESP,train
valia,ESP,train
lacustre,ESP,train
burlador,ESP,train
camerino,ESP,train
dispersa,ESP,train
intercalar,ESP,train
crema,ESP,train
ornitologo,ESP,train
alferez,ESP,train
verruga,ESP,train
wolframio,ESP,train
habitual,ESP,train
portalada,ESP,train
letal,ESP,train
justificar,ESP,train
minuscula,ESP,train
inmovil,ESP,train
mioceno,ESP,train
solariego,ESP,train
durando,ESP,train
bandidaje,ESP,train
muestreo,ESP,train
adelante,ESP,train
tropico,ESP,train
forja,ESP,train
incidir,ESP,train
impedancia,ESP,train
castigar,ESP,train
lechera,ESP,train
bachiller,ESP,train
rogativa,ESP,train
denso,ESP,train
tonteria,ESP,train
reunir,ESP,train
marciano,ESP,train
hermandad,ESP,train
sobornar,ESP,train
federacion,ESP,train
mendiga,ESP,train
aproximar,ESP,train
malefico,ESP,train
farola,ESP,train
penco,ESP,train
proveer,ESP,train
populacho,ESP,train
pronto,ESP,train
cuidador,ESP,train
megalitico,ESP,train
melanina,ESP,train
proverbial,ESP,train
regresivo,ESP,train
sepultar,ESP,train
comendador,ESP,train
aquilatar,ESP,train
vali,ESP,train
delgadez,ESP,train
decantar,ESP,train
anonima,ESP,train
sinestesia,ESP,train
iridio,ESP,train
galpon,ESP,train
enrollado,ESP,train
impotencia,ESP,train
totalidad,ESP,train
aludir,ESP,train
tapial,ESP,train
batir,ESP,train
opacidad,ESP,train
compadrear,ESP,train
destierro,ESP,train
normalista,ESP,train
