data,label,split
falseo,ESP,train
costear,ESP,train
maldecida,ESP,train
distrito,ESP,train
lelo,ESP,train
semanario,ESP,train
argumento,ESP,train
revocable,ESP,train
incesante,ESP,train
eructo,ESP,train
deshecho,ESP,train
melliza,ESP,train
suscrita,ESP,train
gravedad,ESP,train
pica,ESP,train
poderoso,ESP,train
interprete,ESP,train
occidente,ESP,train
frontal,ESP,train
reveladora,ESP,train
cortesana,ESP,train
destinado,ESP,train
esconder,ESP,train
amortajar,ESP,train
pelotazo,ESP,train
saqueador,ESP,train
acrilico,ESP,train
porton,ESP,train
gozo,ESP,train
presumida,ESP,train
construir,ESP,train
guitarreo,ESP,train
agigantar,ESP,train
mato,ESP,train
anfitrion,ESP,train
vendi,ESP,train
intratable,ESP,train
centauro,ESP,train
radiacion,ESP,train
medica,ESP,train
explorador,ESP,train
razonador,ESP,train
hidroavion,ESP,train
agraciado,ESP,train
envasador,ESP,train
tejedor,ESP,train
acusadora,ESP,train
pistolera,ESP,train
sustituta,ESP,train
picaron,ESP,train
caballero,ESP,train
asombro,ESP,train
electro,ESP,train
concejal,ESP,train
juguete,ESP,train
riel,ESP,train
orgullosa,ESP,train
pendiente,ESP,train
retumbar,ESP,train
reducir,ESP,train
pigmento,ESP,train
fiasco,ESP,train
soluble,ESP,train
converso,ESP,train
glaseado,ESP,train
letra,ESP,train
alborotar,ESP,train
bombeo,ESP,train
extraer,ESP,train
aludir,ESP,train
ahorrativa,ESP,train
aries,ESP,train
saxofon,ESP,train
pastora,ESP,train
dietetica,ESP,train
corrupcion,ESP,train
anejo,ESP,train
paraguay,ESP,train
cabezota,ESP,train
pepino,ESP,train
deslealtad,ESP,train
clementina,ESP,train
trote,ESP,train
muerto,ESP,train
buceador,ESP,train
reunir,ESP,train
gratis,ESP,train
espagueti,ESP,train
asamblea,ESP,train
detras,ESP,train
industrial,ESP,train
galante,ESP,train
titulado,ESP,train
recibir,ESP,train
botones,ESP,train
disparado,ESP,train
cosechador,ESP,train
afeminada,ESP,train
triplicar,ESP,train
relax,ESP,train
rodamiento,ESP,train
reclusion,ESP,train
treintena,ESP,train
criollo,ESP,train
transmutar,ESP,train
tatuaje,ESP,train
histograma,ESP,train
convulsion,ESP,train
idiota,ESP,train
veracidad,ESP,train
ovejero,ESP,train
intuir,ESP,train
conllevar,ESP,train
exhalacion,ESP,train
cigarro,ESP,train
laminar,ESP,train
raspador,ESP,train
catalina,ESP,train
optimizar,ESP,train
manejar,ESP,train
lienzo,ESP,train
adjudicar,ESP,train
bienvenido,ESP,train
abarcar,ESP,train
serpenteo,ESP,train
replicador,ESP,train
narcotizar,ESP,train
implemento,ESP,train
hispanidad,ESP,train
pulgar,ESP,train
acongojar,ESP,train
compendio,ESP,train
delineante,ESP,train
blindaje,ESP,train
afuera,ESP,train
sobrecoger,ESP,train
colapsar,ESP,train
anonimo,ESP,train
lactancia,ESP,train
voluminoso,ESP,train
vodka,ESP,train
sermon,ESP,train
palmeado,ESP,train
chupada,ESP,train
recargo,ESP,train
ron,ESP,train
pasivo,ESP,train
funerario,ESP,train
agudeza,ESP,train
disociador,ESP,train
canica,ESP,train
ciegamente,ESP,train
benedicta,ESP,train
oficinista,ESP,train
liturgia,ESP,train
patriota,ESP,train
distintivo,ESP,train
zodiaco,ESP,train
chiflar,ESP,train
eclipsar,ESP,train
tramposo,ESP,train
suicidarse,ESP,train
socia,ESP,train
estampa,ESP,train
holografia,ESP,train
estandarte,ESP,train
tigre,ESP,train
indolencia,ESP,train
cobardia,ESP,train
artefacto,ESP,train
enanismo,ESP,train
libertino,ESP,train
cumplidora,ESP,train
anatomica,ESP,train
vampiro,ESP,train
descanso,ESP,train
doblado,ESP,train
mosquetero,ESP,train
apicultor,ESP,train
aspirante,ESP,train
calumnioso,ESP,train
patata,ESP,train
azufre,ESP,train
saltador,ESP,train
grieta,ESP,train
apuntar,ESP,train
salinidad,ESP,train
costillar,ESP,train
