dataset,prob,hidden,accuracy,perplexity,val_accuracy,val_perplexity,train_KL,train_cosine,train_sse,val_KL,val_cosine,val_sse
ESEN,50-50,2-gram,18.227109222380882,9.18071327428335,18.082091965905555,9.21446362193579,3.225391869497131,0.3551485555792402,0.7725856210702025,3.3908557349861628,0.34199188146801296,0.8133242164729896
ESEN,50-50,3-gram,25.62387326426364,6.203729997164979,25.372147509949755,6.3730388008225,2.903902918476997,0.4210717769625375,0.7274520920714115,3.1391922332898385,0.3944910547321564,0.7784293345286879
ESEN,50-50,4-gram,32.73105427100042,4.9188138589462636,28.941848452913693,5.39031586252526,2.8372198319375994,0.4772887941513086,0.6994642917429589,3.2589965538176737,0.41411107465347585,0.7671494283566189
ESEN,50-50,64,38.85941484061727,6.4189051850112495,37.00453745697044,6.839852295137171,2.742865682613709,0.4590340986550879,0.6865786599450413,3.017878062530055,0.4240431113088537,0.7476111118374615
ESEN,50-50,128,41.452161892184755,5.8870800691347105,37.95416304434671,6.658561909357809,2.6338139813499812,0.4816663843615902,0.6663918116808324,3.0119837558060762,0.42946892808063897,0.7469657744022016
ESEN,50-50,256,43.72674494540171,5.500656585548703,38.433953081124464,6.563643090601732,2.553224234460475,0.4988308221098159,0.6513723755131092,3.023531665866841,0.4299456142371003,0.7497206172045288
ESEN,50-50,512,42.99303555332692,5.641487170264289,38.61891889350857,6.526295618100357,2.5823078998700746,0.48873297606787847,0.6610183646624177,2.9897347777648546,0.4304746952859811,0.7463335914552766
ESEN,99-01,2-gram,21.76706925163112,7.828533147132739,16.551763127933995,10.836045458615397,2.8075879944264788,0.40562606713932015,0.721632812127186,3.655040018842641,0.3341172002749728,0.822420125268146
ESEN,99-01,3-gram,29.0000548110357,5.498453035937318,22.009484411053993,7.569959729365346,2.502342826836034,0.4795607965640089,0.662748516676588,3.4206797883686315,0.3655147619902505,0.801208800380192
ESEN,99-01,4-gram,35.31743386336206,4.432114120416515,24.765495555510835,6.13627921160953,2.4808322503760487,0.5328433723750594,0.6327054341519377,3.47256826553156,0.3777121848235879,0.7907550977967616
ESEN,99-01,64,38.87365259262033,6.095957242564966,32.869633803365666,9.373406258426654,2.5138817873210515,0.4759314352267052,0.6554512900689141,3.4764030899279135,0.3846230861231709,0.7861591518654057
ESEN,99-01,128,41.45394258871819,5.6446048370023405,33.90424763253841,9.232085944868253,2.4626681581478884,0.4879248345514645,0.6459323179365551,3.5022869813930284,0.38626255339650256,0.7895850701277137
ESEN,99-01,256,43.23507265765187,5.338324940537201,34.63262961461338,8.942013924493338,2.3909212378500997,0.5033527981815384,0.6305997169407083,3.521199171157206,0.3841555020720434,0.7946455417258853
ESEN,99-01,512,44.901471362080876,5.072787077674428,34.83743023976085,8.735700180795382,2.4261819004318785,0.5048599821156885,0.6379906152901977,3.572772425621626,0.3801871340467272,0.809027659029341
ESEU,50-50,2-gram,20.468369809357462,8.628313003116476,20.47829593635028,8.697978375917959,3.075313520010815,0.37089286414834866,0.7704560855147766,3.2458685680376442,0.35542223066831935,0.809399795140133
ESEU,50-50,3-gram,26.402929053450784,6.122980174420477,26.012536028619273,6.2825446181810385,2.8262192935698787,0.4256604042176751,0.7319718871003956,3.0643600777352633,0.39816238230030854,0.7804426699416128
ESEU,50-50,4-gram,33.65577699956298,4.871947305315268,30.144052279280977,5.344959257946207,2.7922276465605167,0.4838665648070288,0.7008826457309707,3.2141677931763515,0.4199996885049598,0.7694311177818549
ESEU,50-50,64,39.10788080283468,6.315188543936149,37.43672459166071,6.694785535917406,2.6452748132724055,0.4609842657920938,0.6949082941482956,2.9062170363894255,0.4254319190836221,0.75302629652909
ESEU,50-50,128,43.43482214738887,5.571996480333346,38.38126541794106,6.480707094016847,2.5360597969426397,0.48642859334378025,0.6716221256294809,2.94539168091721,0.4257962209774054,0.7578861481419984
ESEU,50-50,256,43.60281254194356,5.526681319949832,38.724406672943935,6.44055501639627,2.5077430410192116,0.4921789943513676,0.6657375901615398,2.9246467595797077,0.42809905049153285,0.7557676430769118
ESEU,50-50,512,45.454838533254204,5.228775347706886,39.306157334059,6.402037190134329,2.4552458962717054,0.5049850224448017,0.6544179523747519,2.969812773712743,0.4259570068556568,0.7627002103711079
ESEU,99-01,2-gram,21.82925076981418,7.823712583207718,19.573576549258277,10.193719829135059,2.8112589507353634,0.405478736243259,0.7224948552521471,3.5377843789525536,0.3383183294284461,0.826652565881857
ESEU,99-01,3-gram,29.027857604180042,5.500435859057519,23.310069298231774,7.488568489765631,2.5088691986857308,0.4788933909939997,0.6640085811221353,3.4325491655544274,0.36246974201442456,0.8121663186896829
ESEU,99-01,4-gram,35.333166858157135,4.4345675966206235,25.823345394240743,6.275345408680109,2.487223648091094,0.5320441492073211,0.6339163483571884,3.5462700457887197,0.3669667837206142,0.8048451194577965
ESEU,99-01,64,39.59741597849335,5.9658181049483465,32.967721741388964,9.083537727598214,2.50580400191918,0.4817523712617487,0.6509440942123067,3.4070718944512284,0.3784238143209517,0.7997899607530261
ESEU,99-01,128,42.40346328061295,5.4664016576024705,34.37276258363779,8.766606687450416,2.4229995852316426,0.4974985307065164,0.6371516571890916,3.401417179621084,0.3806478076156173,0.8033110566021905
ESEU,99-01,256,43.09972625026241,5.3263790565044395,34.688645295622585,8.576441759833722,2.3767922544985334,0.5073776993260348,0.6278010382520993,3.3688797229115948,0.38492649880959734,0.8018512164766953
ESEU,99-01,512,43.11981616336658,5.344139518703733,34.15578102613672,8.671933821688846,2.4064842344527637,0.5028775306071979,0.6312294021754098,3.3865922443715957,0.37951523800033615,0.8041441994093431
